2019-04-03 | 4169 | During videocalls device brightness changes 
2019-04-02 | 4167 | iOS 12.2 iphone XS lock button ends call while on speaker
2019-04-01 | 4165 | Using signal on iOS 12.2 iphone XS causes Private Internet Access VPN app to disconnect
2019-03-27 | 4164 | Two text fields in image approval view when came from iOS screenshot markup
2019-03-27 | 4163 | Crashes at startup with iOS 12.2 with New Build System (walCheckpoint data race) 
2019-03-27 | 4162 | HKDF Generate 96 Bytes Instead of 80
2019-03-24 | 4161 | Registered user appears unregistered to other Signal users but can still send Signal messages
2019-03-21 | 4160 | Many spurious "Error handling incoming message" messages
2019-03-21 | 4159 | Status bar changes to black in dark theme
2019-03-18 | 4158 | I get an incoming Signal audio call, but my Apple Watch does not notify me
2019-03-15 | 4155 | IOS Accessibility Problems and Suggestions for Signal
2019-03-11 | 4150 | Links in Signal - Please give us choice of browser.
2019-03-09 | 4149 | Corrupted thread title when opened from Signal's contact details screen
2019-03-05 | 4147 | Cannot activate Signal using SMS or voice call from VOIP
2019-03-05 | 4146 | Hot phone during video calls
2019-03-04 | 4145 | Duplicate "Note to Self" when archived in Share to Signal view
2019-02-28 | 4142 | The sender and receiveer are not labeled in conversations for VoiceOver users on Signal for iOS version 2.36.0.7
2019-02-17 | 4134 | Landscape is not supported by Safety Numbers popover
2019-02-16 | 4133 | Issue persists! Uses cellular data even with Wifi-Assist switched off
2019-02-15 | 4131 | Thumbnail scroll view in multiple image message doesn't scroll forward
2019-02-14 | 4130 | Sharing image from a Signal chat to another is impossible
2019-02-08 | 4127 | Landscape orientation is not activated when Signal opens
2019-02-03 | 4124 | Signal Community  IOS 12.1.2, signal version 2.33.1.0, some videos blank
2019-02-03 | 4123 | Linking Device Failed: Request failed: not found (404)
2019-01-28 | 4121 | Incoming call failed
2019-01-25 | 4120 | CarPlay Integration 
2019-01-22 | 4117 | "Message encrypted for non-existing session"
2019-01-18 | 4114 | Send button not shown while sharing an image from signal with screen lock turned on
2019-01-17 | 4112 | "Speaker" button with iphone locked not working as expected
2019-01-15 | 4108 | Debug app crashes when contact consists a phone number with empty label
2019-01-13 | 4105 | While in a call, using the "Look Up" feature on a selected text and subsequently tapping on "Done" will hide the chat bar completely.
2019-01-13 | 4104 | While connected to Bluetooth headphones, if you answer a call and subsequently switch audio output to your headphones, will make the app switch between different audio output options non-stop.
2019-01-08 | 4102 |  Still receive badges for muted groups
2019-01-08 | 4101 | Lag Time for Sharing from Share Sheet
2019-01-08 | 4100 | iOS Sharing Screen Capture
2019-01-08 | 4099 | Number Badge on Back Arrow
2019-01-05 | 4097 | Not receiving messages until i reply. Some messages not recvd at all
2018-12-13 | 4085 | Text color of navigation bar remains white (dark theme) when you cancel the image sending
2018-12-13 | 4083 | Shared Items not Appearing in Conversations
2018-12-07 | 4078 | Landscape mode in “View all media” scroll the media gallery to the top
2018-12-06 | 4075 | Corrupt messages from old desktop instance
2018-12-06 | 4074 | Disappearing last line in text bubble
2018-11-29 | 4068 | Contact photos not displayed
2018-11-28 | 4067 | No Audio/Voice Playback Navigation (Background & Foreground)
2018-11-28 | 4066 | Incoming calls cancel voice messages
2018-11-27 | 4065 | Calls not clear in iPhone XS Max ( voice disappears & comes back while on call )
2018-11-27 | 4064 | Message time shown in chat list is not correct
2018-11-24 | 4060 | Landscape mode image view has wrong top spacing when iOS Hotspot is enabled
2018-11-22 | 4058 | Search can't handle "@" character
2018-11-19 | 4053 | Notifications remain on homescreen until scrolled all the way to bottom 
2018-11-18 | 4047 | Sharing bug
2018-11-07 | 3993 | Signal state gets confused when accepting a picture from iOS "send to"
2018-10-26 | 3962 |  Signal uses a very large amount of cellular data.  When tested, Signal used 1MB+ and made 80 background requests after receiving one text-only message with the app closed.
2018-10-26 | 3961 | Tapping "All Media" crashes the app.
2018-10-19 | 3957 | Constant crashing when opening chat thread
2018-10-18 | 3956 | "Do you like Signal" Sometimes appears over the PIN-code entry screen
2018-10-17 | 3955 | Read receipts informations no more accessible via VoiceOver
2018-10-13 | 3954 | Signal crashes when replying to a message that has been received out of order
2018-10-11 | 3952 | Header should have slideIn animation from list view to conversation view
2018-10-11 | 3951 | Ignore spaces for Jumbo emojis 
2018-10-08 | 3946 | Long messages overlap
2018-10-05 | 3941 | [Beta Bug] Sharing from other apps into Signal does not sync with Desktop
2018-10-04 | 3936 | Signal crashes right after unlocking the app with Face ID
2018-09-25 | 3907 | Signal freezes when i open a group
2018-09-22 | 3900 | Vibration is recorded when recording a voice message
2018-09-22 | 3899 | UX Failure When Setting Up New iPhone
2018-09-20 | 3894 | Any Action Would Stop Audio (Voice, Music etc.)
2018-09-19 | 3890 | Received videos show as MPG symbol only
2018-09-15 | 3881 | recorded video is lost on some actions
2018-09-08 | 3874 | App crashes when trying to delete files from media overview
2018-09-05 | 3865 | Text sent with notifications is missing in chat
2018-08-31 | 3859 | Keyboard Masks The URL Link Menu
2018-08-31 | 3851 | Signal is Not Available in App Store of China mainland now, so how to update...
2018-08-31 | 3850 | Linked Devices Title Occludes First Entry
2018-08-25 | 3844 | Incorrect voice messages duration 
2018-08-23 | 3841 | Support for per-Message Text Directionality (LTR/RTL)
2018-08-21 | 3831 | Signal Remains Disconnected after Sporadic Connection Losses (Beta)
2018-08-16 | 3815 | The reply message shows a unexpected "1" before the contact's name
2018-08-16 | 3814 | No sound on phone call
2018-08-13 | 3808 | Messages leak to user no longer in group
2018-08-09 | 3804 | Music continues to play when a Signal call is received
2018-08-07 | 3784 | Crash when searching through messages
2018-08-07 | 3783 | Signal TouchID & Share Sheet prevents sharing
2018-08-07 | 3782 | Incorrect Value Assignment of kSignedPreKeyRotationTime in TSPreKeyManager.m
2018-08-06 | 3777 | Crash on launch after upgrade to 2.28.0
2018-08-04 | 3774 | Signal does not apply suggestion/auto-correct last word before sending
2018-07-12 | 3701 | Increase sound volume on iPhone
2018-07-07 | 3672 | disappearing messages should also apply to calls history
2018-07-06 | 3668 | Messages delivered from desktop result sent from iPhone  
2018-07-05 | 3662 | First message on group chat not visible when receiving a message on group after reinstalling Signal
2018-07-05 | 3654 | Pasting a png into a chat doesn't render inline
2018-07-03 | 3645 | Navigating to message via full text results is very slow.
2018-06-30 | 3636 | Don't update keys or safety numbers if no longer a member of a group
2018-06-23 | 3591 | Crash on launch - EXC_CRASH (SIGABRT)
2018-06-23 | 3590 | Not playing m4a sent from Android
2018-06-22 | 3585 | Notifications don't clear when already on conversation 
2018-06-20 | 3566 | Signal closes its self when i send a message
2018-06-13 | 3544 | Crashes after update 
2018-06-10 | 3531 | [Invite issue] Contacts with multiple Numbers
2018-06-08 | 3530 | Signal needs constant access to contacts
2018-06-07 | 3527 | PeerConnectionClient in debuglogs should Redact the Client's Geo IP
2018-06-02 | 3523 | Permanent "phantom" notification badge without any visible new/unseen message
2018-06-02 | 3522 | Confusing sharing options for Signal app on iOS 11
2018-06-02 | 3521 | Inconsistent behaviour when sharing content from other apps to Signal
2018-06-01 | 3511 | Message order on iOS and Windows not aligned
2018-05-29 | 3485 | Non standard Latin letters replaced
2018-05-25 | 3479 | Message from new Signal user appears without contact name (phone number instead)
2018-05-24 | 3476 | Text bubble is squished vertically
2018-05-24 | 3475 | Speaker becomes disabled without user interaction 
2018-05-15 | 3432 | Calls disconnect while app closed
2018-05-13 | 3420 | Reply feature does not work if the posting is a link
2018-04-26 | 3339 | Random iOS authentication requests
2018-04-17 | 3307 | Signal crashes when lock screen on iPhone SE is engaged and then exited from
2018-04-16 | 3297 | App crashes when trying to view a conversation where a message was deleted from notifications screen
2018-04-15 | 3295 | Signal app crashes when active. 
2018-04-15 | 3294 | Duplicate and ghost notifcations when censorship circumvention is enabled
2018-04-15 | 3293 | Crash on clicking a group every time after sharing messages to the group from other Apps
2018-04-15 | 3292 | Give a confirmation and warning tip before leaving a group when remove the group
2018-04-14 | 3291 | Media Message doesn't always appear in conversation after successfully completing share
2018-04-11 | 3265 | iPhone: "No available session for contact." & Desktop: "Error handling incoming message."
2018-04-09 | 3254 | crash when scrolling up "all media" for a chat
2018-04-03 | 3223 | Background message notification not working
2018-03-30 | 3208 | iOS SMS sync makes it super easy to accidentally deactivate iPhone via an iPad install
2018-03-28 | 3201 | Unable to Share screenshot
2018-03-26 | 3190 | Don't dismiss the keyboard when long-pressing a message to show the edit menu.
2018-03-20 | 3161 | Swipe back during a call not working
2018-03-20 | 3156 | use OPUS for audio recorder?
2018-03-16 | 3140 | Registration lock reminder prompt should have an option to disable it.
2018-03-15 | 3135 | able to search text inside a specific chat
2018-03-15 | 3134 | visually group/collapse chat sessions within a chat
2018-03-12 | 3127 | [i18n] Make use of Transifex' plural support
2018-03-11 | 3126 | Signal not opening at all any more since last update.
2018-03-11 | 3125 | ios click chat choked
2018-03-06 | 3115 | dropped audio calls without reason; "submit debug log" gives error. Log included
2018-03-05 | 3104 | Answering from home window on iphone turns off disappearing messages
2018-03-02 | 3086 | Voice message is displayed longer than they really is
2018-03-01 | 3079 | Give an option to hide contact pictures
2018-02-27 | 3072 | Increase screen message density
2018-02-27 | 3071 | Pin messages to protect them from disappearing
2018-02-27 | 3066 | Unable to Share photo with phone in landscape mode 
2018-02-24 | 3061 | App frozen
2018-02-19 | 3033 | Not possible to share more than one photo/file at a time with SAE
2018-02-18 | 3029 | Signal plays voice messages incorrectly / too fast
2018-02-15 | 3019 | Support Call Holding - Signal call is being disconnected when trying to switch to regular incoming phone call
2018-02-09 | 2986 | paste strips newlines from share button
2018-02-05 | 2979 | Can't remove person from group
2018-01-31 | 2971 | Add confide-style message reading
2018-01-28 | 2963 | Swiping left for message details is difficult for short messages
2018-01-28 | 2961 | Disappearing message timer disables intermittently
2018-01-27 | 2960 | feature: multiple profiles! for example but not exclusive to dual sim.
2018-01-18 | 2943 | Phone won't stop vibrating
2018-01-16 | 2934 | [Feature Request] Personalized Chat
2018-01-13 | 2928 | Apple Watch 3 - No Signal App on watch.
2018-01-03 | 2906 | Documents & Data in iPhone Storage doesn't change after deleting over a Gig of conversations
2017-12-31 | 2902 | Video attachment upload: Block device from sleeping while compressing/uploading
2017-12-20 | 2894 | Messages that fail to send don't disappear
